Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
14-12-08;48,8;49,1;49,7;49,7;48,8;48,8;49,11;553607;27187910,9;385
14-12-05;49,6;49,7;48;49,8;48;49,6;48,85;320060;15634298,5;764
14-12-04;47,2;47,4;48;48;47;47,3;47,47;67777;3217136,8;211
14-12-03;47,9;48;47,9;48,2;47;48;47,68;81162;3869690,2;231
14-12-02;47,9;48;48,2;48,8;47,1;47,9;48,33;252902;12224031,75;288
14-12-01;48,2;48,6;49,1;49,1;48,1;48,2;48,62;149148;7251381,5;463
14-11-28;49,1;49,2;49,6;49,6;48,9;49,2;49,11;89399;4390028,7;227
14-11-27;49,3;49,5;49,4;49,5;48,8;49,4;49,19;86474;4254045,7;303
14-11-26;49,2;49,4;48,5;49,4;48,3;49,4;49,05;268093;13150403,1;436
14-11-25;48,2;48,3;46,7;48,5;46,7;48,3;47,75;173868;8302712,1;533
14-11-24;46,5;46,7;46,3;46,8;46,1;46,5;46,52;224195;10429676,5;384
14-11-21;45,9;46,1;45,8;46,1;45,8;46;45,98;96272;4426367,7;275
14-11-20;45,5;45,6;46,3;46,3;45,2;45,6;45,7;185553;8479838,2;416
14-11-19;46,1;46,2;46;46,4;46;46,1;46,16;98272;4536480,7;294
14-11-18;46;46,3;46;46,6;46;46;46,33;92480;4284753,2;280
14-11-17;46;46,3;45,5;46,3;45,5;46;45,95;774184;35363275,9;460
14-11-14;45,4;45,6;46,2;46,5;45,4;45,4;45,88;125334;5750896,9;544
14-11-13;46,1;46,3;46,4;46,7;46;46,1;46,33;123174;5706464,3;426
14-11-12;46,4;46,7;47;47,2;46,2;46,4;46,75;137678;6432494,1;395
14-11-11;46,6;46,8;47,8;47,8;46,5;46,6;47,36;359387;17019826,5;783
14-11-10;47,5;47,6;46,8;47,6;46,7;47,6;47,28;81172;3837615,8;334
14-11-07;46,6;46,8;48;48,1;46,6;46,6;47,17;128411;6057628;417
14-11-06;47,7;47,8;45,8;47,9;45,7;47,8;46,95;206948;9716635,2;509
14-11-05;45,7;45,8;45,6;45,8;45,1;45,7;45,59;112744;5139672,9;398
14-11-04;45;45,1;45;45,8;45;45;45,33;223401;10101305,5;698
14-11-03;44,9;45,2;45,8;46;44,7;44,9;45,41;167858;7622098,8;480
