Stock;Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
AAK;15-01-16;405,3;405,8;408,7;410;402,4;405,4;406,39;43800;17799939,25;774
AAK;15-01-15;408;408,7;409,5;416,9;397,8;408,7;405,67;83629;33925756,15;1529
AAK;15-01-14;407,1;407,7;418,1;418,1;406,4;407,1;411,2;74893;30795065,52;1139
AAK;15-01-13;419,8;419,9;420,8;423,2;416,8;419,9;419,84;128365;53742467,5;660
AAK;15-01-12;419,9;420,2;422,7;424,5;416,6;420,2;420,71;50004;21037317,5;726
AAK;15-01-09;419,5;420;416,8;422,9;414,9;420;419,62;35758;15004810,8;804
AAK;15-01-08;417,8;417,9;416,9;419,5;410,6;417,9;414,83;67543;28019104,7;873
AAK;15-01-07;410,4;410,6;410;414,5;406,3;410,4;411,64;51492;21195972;792
AAK;15-01-05;414,3;415,2;415,3;419,5;413,1;415,2;415,3;15528;6448821,7;274
AAK;15-01-02;415,3;415,7;418,1;419,2;414,2;415,4;417,11;22310;9305642,4;431
AAK;14-12-30;417,1;417,5;418,7;420;415;417,5;416,84;30565;12753754,65;432
AAK;14-12-29;418,7;419;419;421,5;417;418,7;418,69;25591;10714809,9;425
AAK;14-12-23;419,3;419,7;420;422;415,2;419,4;418,48;90208;37825894;749
AAK;14-12-22;418,9;419;412,5;421;412,4;418,9;416,6;58291;24283790,3;689
AAK;14-12-19;412,5;412,9;413;413;406,3;412,5;410,64;43503;17864061;644
AAK;14-12-18;410,7;411,7;406;412,9;405,3;410,8;410,3;87657;35964756,84;541
AAK;14-12-17;402,9;403,3;397,7;403,5;397,7;403,3;400,67;48669;19500270,9;603
AAK;14-12-16;400,2;401;405;405,3;395;400,2;398,88;72062;28743638;1006
AAK;14-12-15;404,6;404,7;408;412;404,6;404,6;409,21;73294;30006963,9;895
AAK;14-12-12;408,5;409,3;409,1;413,5;405;408,5;410,82;100214;41169844,7;896
AAK;14-12-11;411,3;411,4;406,6;412;406,6;411,3;409,54;50516;20688431,7;741
AAK;14-12-10;409,5;409,6;408;413,2;408;409,5;410,96;135637;55741381,4;573
AAK;14-12-09;407,3;407,5;408,7;410;406;407,3;407,69;45949;18733394,1;659
AAK;14-12-08;408,5;408,6;407,9;410;406;408,5;408,34;21708;8864157,4;307
AAK;14-12-05;407,3;407,7;406,5;410;405,5;407,3;408,07;42946;17525097,7;686
AAK;14-12-04;401,7;401,8;409,9;409,9;400,3;401,7;403,18;41990;16927827,43;696
AAK;14-12-03;409,5;409,9;409,8;410,4;406;409,5;409,55;62611;25642158,8;481
AAK;14-12-02;408,3;408,6;408,8;412;406;408,6;408,93;33874;13851824,05;572
AAK;14-12-01;410;410,1;409,9;410,3;403,4;410;407,96;28329;11552722,9;550
AAK;14-11-28;410;410,7;411,1;411,5;408,8;410;409,9;36762;15068589;482
AAK;14-11-27;410,3;411;404;411;404;411;409,58;53805;22037397,6;531
AAK;14-11-26;404,9;405;411;411;403,6;405;406,66;28620;11638635,5;445
AAK;14-11-25;410,9;411;410;412;407,9;411;410,47;50920;20900926,9;697
AAK;14-11-24;409,5;409,8;404,5;410;402,6;409,5;406,34;54568;22173865,7;560
AAK;14-11-21;404,5;404,9;401,6;404,8;399,1;404,8;401,66;46849;18817108;489
AAK;14-11-20;401,5;402,4;402,1;406,3;398,7;402,4;400,87;40948;16414916,3;578
AAK;14-11-19;403;403,2;405,8;405,8;401,6;403;403,67;42664;17222271,8;440
AAK;14-11-18;407,2;407,3;406,5;409,2;406,5;407,3;407,33;19580;7975596,4;333
AAK;14-11-17;405,6;406,2;408;408;403,7;406,2;405,55;37786;15324273,8;568
AAK;14-11-14;407,9;408;413,5;413,5;406,2;407,9;409,23;40869;16724858,4;603
AAK;14-11-13;411,6;412,2;407,8;416,1;407,1;411,6;412,45;47291;19505354;954
AAK;14-11-12;406;406,4;409,1;409,9;406;406;406,48;55837;22696419,35;712
AAK;14-11-11;407,6;408;409,3;411,4;406,2;408;408,38;44571;18201968,2;512
AAK;14-11-10;406,1;406,2;407,4;410;403,5;406,1;407,11;60887;24787717;877
AAK;14-11-07;405,5;406;409,5;409,5;402;406;404,1;72406;29259342,35;827
AAK;14-11-06;406,5;406,7;402,8;408;398,7;406,7;404,52;45037;18217687,6;654
AAK;14-11-05;402,6;402,8;401,1;404;401,1;402,8;402,21;49862;20055307,9;648
AAK;14-11-04;400,6;401;396,5;403;395,5;400,7;399,04;49270;19660544,4;855
AAK;14-11-03;396;396,9;401;401;396;396;398,19;42621;16971371,4;656
BMAX;15-04-22;61;61,25;61,75;62;60,75;61,25;61,19;102499;6271478,5;308
BMAX;15-04-21;61,5;61,75;61;62;61;61,75;61,61;106096;6536120,5;378
BMAX;15-04-20;60,25;60,5;60,25;61;59;60,25;60,04;347988;20892324;806
BMAX;15-04-17;58;58,25;59,75;59,75;58;58;58,8;109358;6429799,5;397
BMAX;15-04-16;59,25;59,5;60,5;61;59,5;59,5;59,92;76059;4557476,5;258
BMAX;15-04-15;60,25;60,5;59,75;61;59,5;60,5;60,54;123715;7489825;319
BMAX;15-04-14;59,5;59,75;59,75;60,25;59,5;59,5;59,65;80897;4825393,75;201
BMAX;15-04-13;59,5;59,75;59,5;60;59;59,75;59,65;112148;6690159,5;239
BMAX;15-04-10;59,25;59,5;58,5;60,25;58,5;59,25;59,21;155309;9195810,75;369
BMAX;15-04-09;58,25;58,75;59;59;58,25;58,5;58,68;118536;6955380;351
BMAX;15-04-08;58,5;58,75;58,75;59,5;58,5;58,75;59;123737;7300059,25;415
BMAX;15-04-07;58,5;58,75;60,5;61,25;58;58,75;59,63;234052;13955631,25;640
BMAX;15-04-02;60,5;60,75;60,25;61,25;60,25;60,5;60,75;25700;1561155,5;123
BMAX;15-04-01;60;60,5;60;60,5;59;60,5;59,93;59151;3544934,75;189
BMAX;15-03-31;59,5;60;60,25;60,75;59,25;60;59,83;116947;7000290,5;412
BMAX;15-03-30;60;60,25;61;61,5;59,25;60,25;60,1;635220;38173759,38;434
BMAX;15-03-27;60,25;60,5;59,75;61,5;59,75;60,5;60,58;141497;8572058,75;366
BMAX;15-03-26;59,5;60;60,5;60,5;59,5;59,75;59,68;117904;7036395,25;320
BMAX;15-03-25;60,75;61;62;62;60;61;60,91;177163;10790577;387
BMAX;15-03-24;61,75;62;60,25;62;60;61,75;61,23;183609;11242332,13;533
BMAX;15-03-23;60,5;60,75;60;61;59;60,75;60,03;164783;9891795,5;369
BMAX;15-03-20;59,75;60;59;60;58,25;60;59,46;96081;5712523;355
BMAX;15-03-19;58,75;59,25;58,5;59;58,5;59;58,9;169780;10000114,5;420
BMAX;15-03-18;58;58,25;57,5;58,25;57,25;58,25;57,8;106868;6176439,25;400
BMAX;15-03-17;57,5;57,75;57,25;57,75;56,75;57,5;57,3;147265;8437872,25;316
BMAX;15-03-16;57;57,25;58;58,25;57;57,25;57,63;150672;8683897;426
BMAX;15-03-13;57;57,25;56;57,5;56;57,25;57;194175;11067486,25;429
BMAX;15-03-12;55,25;55,5;55;55,75;54,5;55,5;55,04;166572;9168032,25;240
BMAX;15-03-11;54,5;54,75;54;54,75;53,75;54,5;54,43;250798;13650476,25;304
BMAX;15-03-10;54;54,25;55;55,5;54;54,25;54,72;70058;3833534;228
BMAX;15-03-09;55;55,25;55,75;56;54,5;55;55,44;166269;9217211,75;371
BMAX;15-03-06;55,75;56;55,75;56,5;55,5;56;55,99;98354;5487779,25;230
BMAX;15-03-05;55,5;55,75;54,75;56,5;54,75;55,75;55,18;372786;20568384,75;312
BMAX;15-03-04;54,5;54,75;56;56;53,5;54,75;54,28;374803;20345420,5;693
BMAX;15-03-03;56,25;56,5;57,75;58;56;56,25;56,87;97878;5565869,5;307
BMAX;15-03-02;57,5;57,75;58,5;58,5;57,5;57,75;57,84;125053;7233053,5;336
BMAX;15-02-27;58,25;58,5;58,5;58,75;57,25;58,5;57,9;239870;13888001,25;352
BMAX;15-02-26;58;58,5;58;58,5;57,5;58,5;58,03;84738;4917174;268
BMAX;15-02-25;57,75;58,25;58;58,25;57,5;58;57,91;88053;5099369;253
BMAX;15-02-24;58;58,25;58;58,25;56,75;58;57,59;143112;8241497,5;455
BMAX;15-02-23;58;58,25;58,5;59,25;57,5;58,25;58,38;218747;12769622;493
BMAX;15-02-20;57,75;58;55,75;59;55,75;58;57,53;402562;23160213,5;825
BMAX;15-02-19;55,75;56;56,25;56,25;55,5;55,75;55,73;1175977;64946802;452
BMAX;15-02-18;56;56,25;56,5;56,5;55,75;56;56,13;152897;8581734,5;333
BMAX;15-02-17;56,25;56,5;56,5;57,25;56;56,5;56,3;117475;6613761,75;340
BMAX;15-02-16;56,75;57;56,75;57;56;56,75;56,46;74175;4187683;252
BMAX;15-02-13;56,5;56,75;57,5;58,25;56;56,75;57,15;264083;15092519,5;589
BMAX;15-02-12;57,25;57,5;56,25;58;55,5;57,25;57,4;277528;15930567,5;535
BMAX;15-02-11;56,25;56,5;56,75;57,5;56,25;56,5;56,68;148283;8405274,75;341
BMAX;15-02-10;56,5;56,75;56,75;57,25;56;56,5;56,53;200076;11310555,5;389
BMAX;15-02-09;56,5;56,75;57,5;57,5;56,5;56,5;56,88;115439;6566258;274
BMAX;15-02-06;57;57,25;57,75;57,75;57;57;57,35;157626;9039706;335
BMAX;15-02-05;57,5;57,75;57,25;57,75;56,75;57,75;56,89;829810;47210179,5;526
BMAX;15-02-04;56,75;57;56,5;57,5;56,5;57;56,95;224272;12771698;636
BMAX;15-02-03;56;56,25;55;56,25;55;56,25;55,68;169906;9460548,25;305
BMAX;15-02-02;55;55,25;55;55,75;54,75;55;55,13;216166;11916479;343
BMAX;15-01-30;54,75;55;56,25;56,5;54,75;55;55,55;156628;8700268,25;467
BMAX;15-01-29;56;56,25;55;56,25;55;56;55,62;173178;9631450;443
BMAX;15-01-28;54,75;55;54,5;55,5;54,5;55;54,94;1083887;59545042;573
BMAX;15-01-27;54,25;54,5;54,5;55,25;54;54,5;54,86;364032;19973644,63;753
BMAX;15-01-26;54;54,25;52,5;54,75;52,5;54,25;53,92;869647;46891285,5;1222
BMAX;15-01-23;50;50,25;50,75;50,75;49,8;50,25;50,02;821338;41083997,4;927
BMAX;15-01-22;49,8;50,5;50,5;50,75;48,6;50,25;49,49;582556;28832910,3;1134
BMAX;15-01-21;50,25;50,75;52,5;52,5;50,25;50,25;51,01;226859;11572827;672
BMAX;15-01-20;52,25;52,5;54;54;52;52,5;52,84;890115;47032717,25;869
BMAX;15-01-19;54,25;54,5;54,25;54,5;54;54,5;54,33;63692;3460276,5;216
BMAX;15-01-16;53,75;54,25;54;54;53;54;53,59;67400;3612166,75;230
BMAX;15-01-15;53,75;54;52,75;54;52,75;54;53,43;101163;5405228;236
BMAX;15-01-14;52,5;52,75;53,5;53,5;52,5;52,5;53,03;125405;6650397;289
BMAX;15-01-13;53;53,25;53;54;53;53,25;53,55;136275;7296767,5;366
BMAX;15-01-12;53;53,25;54,25;55;53;53;54,12;263735;14274066,5;650
BMAX;15-01-09;53,5;53,75;53;54;52;53,75;53,46;194846;10416470,25;326
BMAX;15-01-08;53;53,25;52,75;53,25;52,75;53;52,98;57656;3054574,5;199
BMAX;15-01-07;52,25;52,5;53,5;53,5;52,25;52,25;52,59;106502;5600645,25;295
BMAX;15-01-05;53,75;54;54,5;54,5;53,75;53,75;53,91;108233;5834983,75;185
BMAX;15-01-02;54;54,5;52,75;54,5;52,5;54,5;53,91;371511;20022547,75;361
BMAX;14-12-30;52,75;53;52;52,75;51,75;52,75;52,41;86085;4510762,5;231
BMAX;14-12-29;52,25;52,5;52,25;52,5;51,75;52,5;52,24;75948;3967445,25;210
BMAX;14-12-23;52,25;52,5;52,25;53;52;52,25;52,45;68826;3610128;220
BMAX;14-12-22;51,75;52;51;52,25;50,75;52;51,46;117140;6027343,5;306
BMAX;14-12-19;50,75;51;52;52,25;50,5;51;51,16;268802;13751147,5;496
BMAX;14-12-18;52,25;52,5;50,5;52,5;50,5;52,5;51,74;468161;24220542,93;404
BMAX;14-12-17;50,25;50,5;49,5;50,75;49,4;50,5;49,77;221056;11001142,63;351
BMAX;14-12-16;50,25;50,5;50,75;51,25;49;50,5;49,88;190118;9481815,2;487
BMAX;14-12-15;50,75;51;50,75;51,5;50,5;50,75;50,79;447778;22742914,25;344
BMAX;14-12-12;50,5;50,75;51,75;51,75;50,25;50,75;50,85;128449;6531765,5;385
BMAX;14-12-11;51,5;51,75;50,75;52;50,5;51,5;51,16;268029;13712665,88;610
BMAX;14-12-10;50,5;50,75;49,3;50,75;49,2;50,75;50,04;1119776;55748554,85;491
BMAX;14-12-09;49,1;49,2;48,8;49,7;48,5;49,1;49,11;180044;8842697,9;493
BMAX;14-12-08;48,8;49,1;49,7;49,7;48,8;48,8;49,11;553607;27187910,9;385
BMAX;14-12-05;49,6;49,7;48;49,8;48;49,6;48,85;320060;15634298,5;764
BMAX;14-12-04;47,2;47,4;48;48;47;47,3;47,47;67777;3217136,8;211
BMAX;14-12-03;47,9;48;47,9;48,2;47;48;47,68;81162;3869690,2;231
BMAX;14-12-02;47,9;48;48,2;48,8;47,1;47,9;48,33;252902;12224031,75;288
BMAX;14-12-01;48,2;48,6;49,1;49,1;48,1;48,2;48,62;149148;7251381,5;463
BMAX;14-11-28;49,1;49,2;49,6;49,6;48,9;49,2;49,11;89399;4390028,7;227
BMAX;14-11-27;49,3;49,5;49,4;49,5;48,8;49,4;49,19;86474;4254045,7;303
BMAX;14-11-26;49,2;49,4;48,5;49,4;48,3;49,4;49,05;268093;13150403,1;436
BMAX;14-11-25;48,2;48,3;46,7;48,5;46,7;48,3;47,75;173868;8302712,1;533
BMAX;14-11-24;46,5;46,7;46,3;46,8;46,1;46,5;46,52;224195;10429676,5;384
BMAX;14-11-21;45,9;46,1;45,8;46,1;45,8;46;45,98;96272;4426367,7;275
BMAX;14-11-20;45,5;45,6;46,3;46,3;45,2;45,6;45,7;185553;8479838,2;416
BMAX;14-11-19;46,1;46,2;46;46,4;46;46,1;46,16;98272;4536480,7;294
BMAX;14-11-18;46;46,3;46;46,6;46;46;46,33;92480;4284753,2;280
BMAX;14-11-17;46;46,3;45,5;46,3;45,5;46;45,95;774184;35363275,9;460
BMAX;14-11-14;45,4;45,6;46,2;46,5;45,4;45,4;45,88;125334;5750896,9;544
BMAX;14-11-13;46,1;46,3;46,4;46,7;46;46,1;46,33;123174;5706464,3;426
BMAX;14-11-12;46,4;46,7;47;47,2;46,2;46,4;46,75;137678;6432494,1;395
BMAX;14-11-11;46,6;46,8;47,8;47,8;46,5;46,6;47,36;359387;17019826,5;783
BMAX;14-11-10;47,5;47,6;46,8;47,6;46,7;47,6;47,28;81172;3837615,8;334
BMAX;14-11-07;46,6;46,8;48;48,1;46,6;46,6;47,17;128411;6057628;417
BMAX;14-11-06;47,7;47,8;45,8;47,9;45,7;47,8;46,95;206948;9716635,2;509
BMAX;14-11-05;45,7;45,8;45,6;45,8;45,1;45,7;45,59;112744;5139672,9;398
BMAX;14-11-04;45;45,1;45;45,8;45;45;45,33;223401;10101305,5;698
BMAX;14-11-03;44,9;45,2;45,8;46;44,7;44,9;45,41;167858;7622098,8;480
